legal_name,purpose
FrankenFrisch GmbH,Der Vertrieb und die Vermarktung der Marke FrankenFrisch.
Reit- und Pferdebetrieb Abtnaundorf GmbH,Betrieb des Pferdehofs Abtnaundorf
Frankfurter Straße 70 Projekt GmbH,"Der Erwerb, die Verwaltung, die Bebauung und der Verkauf des Grundstückes Frankfurter Straße 70 in Ober-Mörlen. Die Verwaltung umfasst die Vermietung, Verpachtung und Nutzung der Immobilie in sonstiger Weise."
"Broeker, Horz & Funken Verlagsgesellschaft mbH",Verlagstätigkeit sowie Projektmanagement
Hassium 29. Beteiligungs GmbH,"Gegenstand des Unternehmens ist die Übernahme von Beteiligungen an anderen Unternehmen aller Art, die Verwaltung dieser Beteiligungen und die Übernahme der Geschäftsführung, insbesondere auch als geschäftsführende persönlich haftende Gesellschafterin der ""EYBL Trier GmbH + Co. KG"" mit dem Sitz in Trier. Gegenstand des Unternehmens ist ferner die Erbringung von Beratungs- und Dienstleistungen aller Art für Unternehmen, an denen die Gesellschaft beteiligt ist, der Handel mit waren aller Art sowie der Erwerb und die Vermietung von beweglichen und unbeweglichen Anlagegütern."
Küpper Transporte GmbH,Durchführung von Kleintransporten
CM Verwaltungs GmbH,"der Erwerb, der Verkauf und die Verwaltung von Kapitalbeteiligungen und Vermögensanlagen aller Art, ausgenommen der Geschäfte und Anlagen, die der Genehmigung nach dem Kreditwesengesetz benötigen."
Würz Logistik GmbH,Logistische Dienstleistungen für verschiedene Auftraggeber.
SoftXel Information Technologies GmbH,"Entwicklung, Herstellung und Handel mit industrieller und betriebswirtschaftlicher Standardsoftware sowie Beratung in Bezug auf derartige Software, ihren Einsatz und ihre Integration."
H-u-M Computer GmbH,"Der Handel mit elektronischen Geräten, Unterhaltungs- und Kommunikationselektronik, mit Elektrogeräten einschließlich Zubehör, Hard- und Software."
beyond-flora GmbH,"Beratungs-, Service,- Marketing und weitere Dienstleistungen in dem Bereich Blumen und Pflanzen sowie alle sonstigen damit im Zusammenhang stehenden Tätigkeiten."
Biogas Ruchow Verwaltungs GmbH,"Verwaltung eigenen Vermögens, ferner die Übernahme der Geschäftsführung bei der und Eintritt als Komplementär in die Biogas Ruchow GmbH & Co. KG."
PriMaa Navare GmbH,"Kaufmännische Dienstleistungen, Lohnund Gehaltsabrechnungen und Marketing"
25digital GmbH,"Verwaltung bestehender Beteiligungen und Erwerb von Beteiligungen für unternehmerische Zwecke, Übernahme bestimmter Teilfunktionen einer (geschäftsleitenden) Holding. Unterhaltung eines eigenen Geschäftsbetriebes einschließlich operative Ausführung zentraler Softwarelösungen und IT- Unterstützung mit eigenem Personal und in eigenen Büroräumen. Die durch Mehrheitsbeteiligung verbundenen Unternehmen gelten gemäß § 290 HGB (""Mutter-Tochter"") als Tochterunternehmen, die in den Konzernabschluss der Gesellschaft (Mutterunternehmen) nach den Vorschriften über die Vollkonsolidierung einbezogen werden. Erwerb, Verwaltung und Handel von Rechten, Lizenzen, Vermögen, Grundstücken, Immobilien."
Kuhlmey & Co. Gesellschaft mit beschränkter Haftung,"Erfassung sowie Bearbeitung und Verwertung von tierischen Rohstoffen. Die Gesellschaft darf sich zur Verfolgung dieses Zweckes an anderen Unternehmen beteiligen und auch die Stellung einer Komplementärin in einer Gesellschaft übernehmen, die diesen Zweck verfolgt."
ApoConversion UG (haftungsbeschränkt),"das Marketing für Apotheken, Apothekenkooperationen aller Art und andere gesundheitsbezogenen Unternehmen und Institutionen."
DAS FUNDAMENT Medienberatungsgesellschaft mbH,"Die Medien- und Marketingberatung in allen Bereichen, kaufmännische Beratung und Umsetzung. Content Produktion, Mobile Entertainment, Handel mit Soft- und Hardware, Handel mit Filmrechten und Lizenzen, Gestaltung von Internetseiten und deren Vertrieb und Verwaltung."
Edmund Krüger GmbH,"Der Handel mit Maschinen und Werkzeugen aller Art sowie mit Heimwerker-, Industrie- und Schreinereibedarf."
SWR Europe - van Dinther Antriebstechnik GmbH,Vertrieb hydraulischer Pumpen und Steuerungssysteme sowie Vertrieb von Maschinenteilen und alle damit zusammenhängenden Tätigkeiten.
Magic Style Unternehmergesellschaft (haftungsbeschränkt),Betrieb eines Frisörsalons und alle dafür weiteren notwendigen Tätigkeiten und Dienstleistungen.
Schober & Bellok Bedachungen GmbH,die Durchführung von Bedachungen jeder Art
Volk GmbH,Betrieb einer Fahrzeug- Reparaturwerkstätte.
STUDIO-Z UG (haftungsbeschränkt),"ist das Betreiben eines Sportzentrums für Gerätetraining, Bewegungstherapie und Sportphysiotherapie."
K. Projekt GmbH,"Projektentwicklung von Bauvorhaben, Verwaltung und Betrieb von Internetdomains sowie Vermittlung von verträgen jeglicher Art, soweit diese Tätigkeit nicht einer behördlichen Zustimmung oder Genehmigung bedarf."
dialog Beteiligungsgesellschaft mbH,"Übernahme der persönlichen Haftung in Personengesellschaften, insbesondere an der dialog GmbH & Co. Bauträger KG."
Elektro Wenzl GmbH,"Der Betrieb eines Elektroinstallationshandwerks, sowie der Handel mit elektronischen Teilen und Geräten."
Vinda GmbH,"Handel mit Hygieneartikeln jeder Art wie zum Beispiel Papierrollen, Seife, Desinfektionsmitteln, Lufterfrischern etc. und den dazugehörigen Spendern sowie damit einhergehende Service- und Dienstleistungen"
ESTELLA Veranstaltungsmanagement GmbH,"Gegenstand des Unternehmens ist die Vermietung und Vermittlung von Veranstaltungsräumen und Zelten, die Bewirtschaftung von vermieteten und vermittelten Veranstaltungsräumen und Zelten sowie die Durchführung von Veranstaltungen jeder Art."
Kontor Langen Kaffee GmbH,"Übernahme und Verwaltung von Beteiligungen an Unternehmen aller Art sowie die Geschäftsführung für solche Unternehmen, insbesondere Beteiligung als persönlich haftende, geschäftsführende Gesellschafterin an der Langen Grundstücksgesellschaft mbH & Co. KG mit Sitz in Medebach"
Prill Zerspanungs GmbH,"Gegenstand der Gesellschaft ist die Metallverarbeitung, das CNC-Drehen und das CNC-Fräsen."
VonAnckeln14 Unternehmergesellschaft (haftungsbeschränkt),"der Erwerb und Verwaltung eigener und fremder Immobilien, Handel und Dienstleistungen aller Art, insbesondere in Form von Konzeptionierung, Consulting sowie Entwicklung, Projektierung, Bau und Vermarktung von Immobilien, insbesondere auch die Durchführung von erlaubnispflichtigen Tätigkeiten gem. § 34c Abs. 1 Nr. 1, 3a und 3b GewO, insbesondere die Vermittlung des Abschlusses von Verträgen oder Nachweis einer Gelegenheit zum Abschluss von Verträgen über Grundstücke, grundstücksgleiche Rechte, gewerbliche Räume oder Wohnräume, über die Vorbereitung und Durchführung von Bauvorhaben als Bauherr im eigenen Namen für eigene oder fremde Rechnung unter Verwendung von Vermögenswerten von Erwerbern, Mietern, Pächtern, sonstigen Nutzungsberechtigten oder von Vorbereitung und Durchführung von Bauvorhaben als Baubetreuer im fremden Namen für fremde Rechnung sowie alle mit den vorgenannten Bereichen zusammenhängende und ihnen dienenden Maßnahmen und Tätigkeiten. Die Gesellschaft ist zu allen Handlungen berechtigt, die unmittelbar oder mittelbar zur Erreichung des Gesellschaftszwecks dienen."
Humboldt Objektverwaltungs GmbH,"Erwerb, Besitz und Verwaltung eigenen Grundbesitzes, insbesondere in der Humboldtstraße 27 a (bisher: Pilgersheimerstr. 4) in München."
witch-up UG (haftungsbeschränkt),Kurierdienste und Paketzustellungen sowie damit verbundene Dienstleistungen aller Art
Belmus Holdings Germany GmbH,"Verwaltung eigenen Vermögens sowie die Beteiligungen an juristischen Personen, Gesellschaften und Unternehmen (auch als persönlich haftender Gesellschafter), die insbesondere auch im Bekleidungs-, Bekleidungszubehör, Schuh- und Outdoor Ausrüstungs-Sektor tätig sind."
Kirchhoff International GmbH,"Gegenstand des Unternehmens ist die Beteiligung an anderen Unternehmen, insbesondere die Beteiligung als persönlich haftende und vertretungsberechtigte Gesellschafterin an der Steppdeckenfabrik Kirchhoff GmbH & Co. KG mit dem Sitz in Münster. Die Gesellschaft kann auch andere Geschäfte betreiben. Sie kann im In- und Ausland weitere Unternehmen erwerben, veräußern, pachten oder verpachten, sie kann Zweigniederlassungen errichten und alle Geschäfte betreiben, die geeignet sind, den Zweck der Gesellschaft und ihre Unternehmen zu fördern."
HEMO Fitness GmbH,"das Errichten und Betreiben von Fitness- Centern sowie der Handel mit im Fitnessbereich verwendeten Geräten, Materialien und Waren."
XL Company GmbH,"Die Vermittlung von und der Handel mit Möbeln, Einrichtungsgegenständen und alle artverwandten Produkte"
Fassadenblitz GmbH,"die Reinigung und Schutzbeschichtung von Fassaden, sowie die Übernahme aller Tätigkeiten, die dem Gesellschaftszweck unmittelbar oder mittelbar zu dienen geeignet sind."
Komara GmbH,"ist die Erbringung von erlaubnisfreien Dienstleistungen und Serviceleistungen in Bezug auf die Instandhaltung, Sanierung und Verwaltung von Immobilien"
bk systems IT Management GmbH,IT Dienstleistungen und Vermarktung von IT Hard- und Software
Projekt Magdeburg-Erfurt UG (haftungsbeschränkt),"Die Planung, Durchführung und Erstellung von schlüsselfertigen Bauten aller Art sowie der Handel mit Grundstücken und Gebäuden. Handwerkliche Tätigkeiten, die ggf. einer Eintragung in die Handwerksrolle bedürfen, werden erst nach Eintragung in die Handwerksrolle durchgeführt."
Biermann + Kaldauer Kadoshop GmbH,"der Handel mit Geschenkartikel, der Betrieb von Postfilialen, Büro-Dienstleistungen und Montage von Baufertigteilen;"
L.P.V. PROIECT CONSULT SRL,Ausübung des Mauererhandwerks und Ausübung des Beton- und Stahlbetonbauerhandwerks.
JOVA Systemhaus GmbH,Erbringung von IT-Beratungs- und Dienstleistungen sowie der Handel mit Hardware Produkten
EFIN Immo-Entwicklungs-GmbH,"Entwicklung, Verwertung und Vermietung von Wohn- und Gewerbeimmobilien, nicht aber Tätigkeiten im Sinn des § 34 c GewO."
Rohfilm Productions GmbH,"der gemeinschaftliche, gewerbsmäßige Betrieb einer Filmproduktionsgesellschaft mit allen vorkommenden Arbeiten wie Entwicklung, Herstellung und Vertrieb von Fernseh- und Kinofilmen sowie allen zur Förderung dieses Geschäfts dienlichen Maßnahmen und Rechtsgeschäften."
TGA Solutions plus GmbH,"die Erbringung von Dienstleistungen im Bereich der technischen Gebäudeausrüstung, wie Ingenieurleistungen, sowie das Handeln mit Materialien"
CBR Deutschland Limited,"Receycling, Entsorgung und Vermarktung von Abfällen und Rohstoffen."
Harmsen Trucking + Service GmbH,"der gewerbliche Güterkraftverkehr, der Logistik-Service, die Vermietung und der Verkauf von Eventequipment, sowie Montagearbeiten im Messe-, Event und Veranstaltungsbereich, Logistische Beratung. Die Gesellschaft ist berechtigt, alle Geschäfte vorzunehmen und Maßnahmen zu ergreifen, die den Zweck des Unternehmens unmittelbar oder mittelbar fördern. Sie kann sich auch an anderen Unternehmen mit gleichem oder ähnlichen Gegenstand beteiligen, solche Unternehmen erwerben und Zweigniederlassungen errichten."
Kronen zweitausend160 GmbH,Die Verwaltung eigenen Vermögens.
Diplomat Fenstertechnik Verwaltungs- GmbH,die Herstellung von Rolläden und Fenstern sowie deren Vertrieb und die Montage und die Übernahme der Geschäftsführung und die Beteiligung als persönlich haftender Gesellschafter an der Firma Diplomat Fenstertechnik GmbH & Co. KG mit dem Sitz in Troisdorf.
Smartivo GmbH,"Betreiben von Internetportalen, Internetdienstleistungen, Programmierleistungen und Webhosting."
EXACT Software GmbH,"Entwicklung, Herstellung sowie der Vertrieb von allgemeinen Standardsoftwareprodukten sowie spezieller branchenspezifischer Softwarepakete aller Art. Außerdem gehören Serviceleistungen, insbesondere die Programm- und Systempflege, im Bereich von Hardware- und Softwareprodukten zum Gegenstand der Gesellschaft. Die Gesellschaft beschäftigt sich außerdem mit der Übersetzung und Anpassung von EXACT-Produkten auf die jeweils länderspezifischen Anforderungen."
BESA Beteiligungs GmbH,Die Beteiligung an anderen Unternehmen insbesondere als persönlich haftende Gesellschafterin von Kommanditgesellschaften.
Lodge Security GmbH,Die Erbringung von Sicherheitsleistungen.
Lieblingsagenten GmbH,"Betrieb einer Marketing, Design und Werbeagentur sowie entsprechende Beratung, insbesondere im Bereich der Kommunikation und des digitalen Marketings."
Elfte GZS Grundstücksverwaltungsgesellschaft mbH,(1) Die Übernahme der persönlichen Haftung und der Geschäftsführung bei der Erste Grundstücksverwaltungsgesellschaft Europahafen GmbH & Co. KG (Amtsgericht Bremen HRA 28488 HB). (2) Die Übernahme der persönlichen Haftung und der Geschäftsführung bei der Zweite Grundstücksverwaltungsgesellschaft Europahafen GmbH & Co. KG (Amtsgericht Bremen HRA 28490 HB).
Extra Team Kita GmbH,"Gegenstand des Unternehmens ist die gewerbsmäßige Überlassung und Vermittlung von Arbeitnehmern/Beschäftigten, insbesondere an pädagogische und soziale Einrichtungen sowie die Erbringung ähnlicher Personaldienstleistungen und alle damit im Zusammenhang stehenden Geschäfte, mit Ausnahme erlaubnispflichtiger Tätigkeiten."
GJS Immobilien und Beteiligungen GmbH,"der Erwerb, die Entwicklung und Vermietung von Immobilien sowie die Beteiligung an anderen Unternehmen."
Heinrich W e b e r Baudekoration GmbH,Führung eines Maler- und Baudekorationsgeschäftes
ANC Green Beauty Lab GmbH,"Die Produktion, das Marketing von und der Handel mit kosmetischen Produkten und Haushaltsartikeln, Nahrungsergänzungsmitteln und umweltfreundlichen Verpackungsstoffen sowie die Erbringung von Unternehmensberatungsdienstleistungen für nachhaltige Innovation."
Knud Skov Christensen GmbH,die Betreibung eines Fuhrunternehmens für den Güterverkehr und alle damit im Zusammenhang stehenden Tätigkeiten.
L & H Verlag GmbH,"die Durchführung von Kulturförderung, Kultursponsoring und Kulturberatung für die Wirtschaft sowie der Betrieb eines Verlages und die Herausgabe von Zeitschriften und Büchern, kunst- und kulturgeschichtlichen Inhalts. Die Gesellschaft ist auch zur Unternehmensberatung, Marketingberatung und Abhaltung von Seminaren sowie Führung von Workshops befugt."
bermulco UG (haftungsbeschränkt),"ist das Coaching, Beraten und Schulen von Unternehmen und dessen Mitarbeitern, das Interimsmanagement von Unternehmen, sowie die Vermittlung von Kontakten und Geschäftsbeziehungen. Die Gesellschaft ist berechtigt, im In- und Ausland Zweigniederlassungen zu errichten und Tochtergesellschaften zu gründen und sich an gleichartigen oder ähnlichen Unternehmen zu beteiligen. Die Gesellschaft ist zu allen Handlungen berechtigt, die geeignet erscheinen, den Gesellschaftszweck unmittelbar oder mittelbar zu fördern."
Franz Haniel Akademie GmbH Bildungszentrum der Haniel-Gruppe,"die Planung, Organisation und Durchführung von Veranstaltungen für die Unternehmen der Haniel-Gruppe und für Dritte, die dem Ziel von Personalentwicklung, Mitarbeiterförderung und Führungskräftequalifizierung dienen, sowie die Bewirtschaftung der Akademiegebäude und -einrichtungen."
VAP Projektmanagement GmbH,"ist der Erwerb und die Verwaltung von B eteiligungen sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Handelsgesellschaften, insbesondere die Beteiligung als persönlich haftende geschäftsführende Gesellschafterin der Gesellschaft in Firma ""Villen am Palmengarten GmbH & Co. KG""."
tellows UG (haftungsbeschränkt),Erbringung von Internetdienstleistungen.
Immobilien Telaak Verwaltungs-UG (haftungsbeschränkt),Die Geschäftsführung und Übernahme der Haftung in der Immobilien Telaak UG (haftungsbeschränkt) & Co. KG.
Versicherungs - Management für Arbeitgeber Dienstleistungsgesellschaft mbH,"Gegenstand des Unternehmens ist es dem Arbeitgeber Klientel passenden Versicherungsschutz in Preis und Leistung zu vermitteln. Dies gilt sowohl im Lebensund Sachversicherungsbereich, sowie für Finanzierungs- Leasing- und Dienstleistungsangebote."
